,Indice,Date,Close,High,Low,Open,Volume,V_t,MA5,MA15,EMA5,EMA15,RSI14,MACD,Signal,STD10,STD20,BollingerBandUpper,BollingerBandLower
0,HangSeng,2001-08-06,12148.8095703125,12255.5302734375,12091.2099609375,12255.5302734375,141753200.0,-0.9802732319510634,12335.9380859375,12304.490755208333,12268.306070518964,12333.04130025527,35.024206569282924,-100.11108839923509,-101.46239856038967,145.58106297114776,208.82840498878198,12806.298411540063,11970.984791584937
1,HangSeng,2001-08-07,12007.1904296875,12260.23046875,11924.9599609375,12260.23046875,208445200.0,-1.1657038478162365,12274.0380859375,12263.334765625,12181.267523575143,12292.3099414343,34.75421478134021,-116.83308590148044,-104.53653602860783,163.7951006861631,212.68915603018115,12779.845450732237,11929.088826611513
2,HangSeng,2001-08-08,11958.009765625,12082.1796875,11942.7802734375,12035.98046875,178200800.0,-0.40959343778626134,12169.8919921875,12227.51875,12106.848270925097,12250.522419458137,35.16901984971486,-132.52617867430672,-110.1344645577476,183.7869103139605,212.6170908302516,12741.906789082379,11891.438425761371
3,HangSeng,2001-08-09,11716.76953125,11822.259765625,11605.0400390625,11822.259765625,231948800.0,-2.0173945255378483,12019.971875,12180.157356770833,11976.822024366731,12183.80330843212,33.198822270556064,-162.55530220800938,-120.61863208779997,235.3283536534532,245.08692118697724,12766.28990682708,11785.94222207917
4,HangSeng,2001-08-10,11765.8095703125,11794.48046875,11662.8203125,11746.849609375,148634200.0,0.4185457342290847,11919.3177734375,12145.889973958334,11906.484539681987,12131.554091167167,34.26511905588019,-180.31788531110396,-132.55848273246076,266.35667115644185,252.792795188077,12736.98212357928,11725.81094282697
5,HangSeng,2001-08-13,11694.2900390625,11779.8603515625,11624.990234375,11779.4599609375,137231600.0,-0.607858990259864,11828.4138671875,12105.397330729167,11835.753039475492,12076.896084654083,34.13901234088216,-197.8847961005813,-145.62374540608488,298.9507038431484,263.0809377076259,12711.633408618376,11659.309657787873
6,HangSeng,2001-08-14,11991.009765625,12007.759765625,11718.1904296875,11718.1904296875,172713800.0,2.537304321778967,11825.177734375,12089.034635416667,11887.50528152533,12066.160294775447,44.376270265160464,-185.7229982058634,-153.64359596604058,288.10707302679214,244.9484807163608,12643.692469245221,11663.898546379778
7,HangSeng,2001-08-15,12141.6298828125,12156.8798828125,11897.4697265625,12031.08984375,191067400.0,1.2561087025321869,11861.9017578125,12084.2033203125,11972.213481954386,12075.59399328008,52.59743527776185,-162.0627426642095,-155.32742530567438,249.44389763402603,231.39165689509014,12598.897815743305,11673.331188162945
8,HangSeng,2001-08-16,11832.4404296875,12195.080078125,11827.01953125,12071.7099609375,422805600.0,-2.5465234577993825,11885.0359375,12070.377994791666,11925.62246453209,12045.199797831006,41.77745307066344,-166.34332227357845,-157.5306046992552,197.35578789251716,230.2294332853998,12566.835868523925,11645.918135382326
9,HangSeng,2001-08-17,11754.8095703125,11809.759765625,11643.83984375,11713.400390625,330698600.0,-0.6560849373069716,11882.8359375,12041.8873046875,11868.68483312556,12008.901019391193,42.131657173977175,-173.99417744731545,-160.82331924886728,170.93173604111104,239.1697822527496,12558.466029349249,11601.786900338251
10,HangSeng,2001-08-20,11458.7001953125,11573.4599609375,11375.4599609375,11573.4599609375,256960200.0,-2.519048677299227,11835.71796875,12000.023307291667,11732.023287187874,11940.125916381356,30.27472265952298,-201.62685825355038,-168.9840270498039,197.10669473243465,270.32101451650806,12578.619519267391,11497.335461201357
11,HangSeng,2001-08-21,11440.349609375,11512.2802734375,11363.8203125,11495.2099609375,225189800.0,-0.1601454407979608,11725.5859375,11941.6005859375,11634.798727916917,11877.653878005562,24.43836188120764,-222.44251692862235,-179.6757250255676,221.1841018577147,296.867366190463,12591.907193318426,11404.437728556573
12,HangSeng,2001-08-22,11188.5703125,11365.6103515625,11161.509765625,11339.51953125,272482800.0,-2.200800722634166,11534.9740234375,11855.5892578125,11486.055922777945,11791.518432317367,21.861566166448682,-256.30108211503466,-195.000796443461,277.3070416956632,342.6460516452268,12632.188099384204,11261.603892803296
13,HangSeng,2001-08-23,11345.3798828125,11370.080078125,11220.1103515625,11259.01953125,215469200.0,1.4015157069470308,11437.5619140625,11780.856575520833,11439.16390945613,11735.75111362926,29.28996790595204,-267.39861239723723,-209.48035963421626,298.6290227582409,367.0504302000928,12646.27483500956,11178.07311420919
14,HangSeng,2001-08-24,11110.2998046875,11372.400390625,11049.4501953125,11372.400390625,241046000.0,-2.0720335550961213,11308.6599609375,11703.604557291666,11329.54254119992,11657.56970001154,27.855883350005797,-291.79880774058984,-225.944049255491,341.94247249186554,402.1294268825875,12662.839322515176,11054.321614984825
15,HangSeng,2001-08-27,11234.7197265625,11342.9296875,11212.830078125,11307.1796875,145020400.0,1.1198610664179063,11263.8638671875,11642.665234375,11297.93493632078,11604.713453330409,33.40692092564298,-297.6651914327813,-240.28827769094906,357.74482484261733,421.3602784178682,12658.704004101362,10973.262890429889
16,HangSeng,2001-08-28,11300.5302734375,11372.2900390625,11046.8203125,11213.66015625,179275400.0,0.5857782701904227,11235.9,11595.554557291667,11298.800048693021,11566.690555843796,35.977177210702564,-293.6193208832701,-250.95448632941327,328.568078821988,419.06541502586765,12603.306269504861,10927.04460940139
17,HangSeng,2001-08-29,11242.41015625,11258.26953125,11173.7998046875,11228.8603515625,188285800.0,-0.5143131851441913,11246.66796875,11547.847916666668,11280.003417878681,11526.15550589457,39.02555185832518,-291.7397527824214,-259.1115396200149,238.2305714261203,398.9712983353149,12501.301532217505,10905.416338876246
18,HangSeng,2001-08-30,11315.6298828125,11335.16015625,11115.4404296875,11241.6298828125,246490800.0,0.651281402696333,11240.71796875,11521.1052734375,11291.878906189955,11499.839803009312,39.700191435624184,-281.10159727640166,-263.50955115129227,180.95454054996156,364.64268319080253,12375.107290209731,10916.53655744652
19,HangSeng,2001-08-31,11090.48046875,11229.76953125,11003.9501953125,11204.4697265625,265702000.0,-1.989720558150132,11236.7541015625,11476.083333333334,11224.746093709971,11448.669886226899,37.092618609729264,-287.5240600698162,-268.31245293499705,124.5515908900452,353.6888310184658,12294.269605396306,10879.514281322443
20,HangSeng,2001-09-03,10902.6396484375,11071.73046875,10897.83984375,11058.7998046875,185143200.0,-1.6937121961648556,11170.3380859375,11423.306640625,11117.377278619148,11380.416106503224,25.598503800708784,-304.2637295759687,-275.5027082631914,153.13536738737335,359.21132941874725,12243.00610610312,10806.16078842813
21,HangSeng,2001-09-04,11136.8603515625,11180.7900390625,10772.099609375,10941.9501953125,303746000.0,2.148293538790554,11137.6041015625,11366.363346354166,11123.871636266933,11349.971637135634,28.286806851084307,-295.2271897138271,-279.4476045533185,132.68257843890882,350.2757396295625,12181.618422618501,10780.51546410025
22,HangSeng,2001-09-05,10943.1396484375,11053.650390625,10859.75,11053.650390625,206642600.0,-1.7394552594692543,11077.75,11286.463997395833,11063.62764032379,11299.117638548367,29.77263640482981,-300.23637053022503,-283.6053577486998,153.39204492069578,351.05570354671966,12132.43484459344,10728.21203040656
23,HangSeng,2001-09-06,10664.3203125,10932.2197265625,10652.0400390625,10929.2802734375,239079600.0,-2.5478916005363303,10947.4880859375,11208.589322916667,10930.52519771586,11219.76797279232,27.276268122946462,-322.98144360327024,-291.4805749196139,205.4045906444165,383.2608695093176,12144.222715581136,10611.179237543865
24,HangSeng,2001-09-07,10384.2001953125,10556.1796875,10346.8798828125,10556.1796875,399700800.0,-2.626703896535835,10806.23203125,11117.215364583333,10748.416863581408,11115.322000607342,27.459248794590323,-359.4667216714297,-305.0778042699771,303.80861003387156,431.14671372680795,12170.913935266117,10446.327080358884
25,HangSeng,2001-09-10,10366.3203125,10413.509765625,10177.509765625,10227.4697265625,367156400.0,-0.17218353340848633,10698.9681640625,11044.3900390625,10621.051346554272,11021.696789593925,27.464672717035043,-385.3818820725919,-321.1386198305001,355.75756701591007,469.20289503129146,12180.627811546958,10303.816231421792
26,HangSeng,2001-10-18,9880.6103515625,10101.900390625,9817.919921875,10101.900390625,365696000.0,-3.7053530342286702,10138.9259765625,10081.759309895833,10109.889106263407,10127.554230600448,58.71658927665121,-155.324230245913,-240.91176633717092,187.41536354664154,461.23542563712016,10799.034864946116,8954.093162397636
