,Indice,Date,Close,High,Low,Open,Volume,V_t,MA5,MA15,EMA5,EMA15,RSI14,MACD,Signal,STD10,STD20,BollingerBandUpper,BollingerBandLower
0,Russell2000,1987-10-07,168.8699951171875,170.2100067138672,168.47999572753906,170.2100067138672,186300000.0,-0.7872695751268749,171.0199981689453,169.54933268229166,170.28773543529462,169.94951968064478,50.22416001576511,0.42937217107962056,0.3211182129473123,1.428503126900386,1.3734371284689244,172.31187288364683,166.81812436977114
1,Russell2000,1987-10-08,167.05999755859375,168.97999572753906,166.77999877929688,168.8699951171875,198700000.0,-1.0718289873447917,170.1519989013672,169.43199869791667,169.21182280972766,169.58832941538842,43.444528623514366,0.1569752469070238,0.2882896197392546,1.6924396465513465,1.4793110791660238,172.42812060193557,166.51087628527148
2,Russell2000,1987-10-09,166.1199951171875,167.11000061035156,166.00999450683594,167.05999755859375,158300000.0,-0.5626735634762345,168.95999755859376,169.2566650390625,168.18121357888094,169.1547876281133,44.87180427685875,-0.13321598811992885,0.20398849816741793,2.0812448489490714,1.6331316098227044,172.51476175480164,165.98223531551085
3,Russell2000,1987-10-12,163.86000061035156,166.11000061035156,163.38999938964844,166.11000061035156,141900000.0,-1.3604590496415856,167.2239990234375,169.02066548665366,166.74080925603783,168.49293925089307,37.311397518615614,-0.5393401245055429,0.05532277363282577,2.8010369607651726,2.0020647229053976,172.92412837769558,164.91586948607397
4,Russell2000,1987-10-13,164.13999938964844,164.4199981689453,163.6300048828125,163.86000061035156,172900000.0,0.17087683281699353,166.00999755859374,168.79266560872395,165.87387263390804,167.9488217682375,33.62384492554001,-0.8290461392853388,-0.12155100895080713,3.2280964354914468,2.2670037948254866,173.20100664360604,164.1329914643041
5,Russell2000,1987-10-14,161.7899932861328,164.16000366210938,161.58999633789062,164.14999389648438,207400000.0,-1.431708366183794,164.5939971923828,168.33533223470053,164.51257951798297,167.17896820797444,28.4111943398935,-1.234040841295979,-0.34404897541984153,3.787521040586631,2.7370188277561214,173.78453646532668,162.8364611543022
6,Russell2000,1987-10-15,159.66000366210938,161.8000030517578,159.60000610351562,161.8000030517578,263200000.0,-1.31651505804593,163.11399841308594,167.73133239746093,162.8950542326918,166.23909763974132,24.542912308821187,-1.7071949414680603,-0.6166781686294853,4.330627275030248,3.3459351082679727,174.5443688432449,161.16062841017305
7,Russell2000,1987-10-16,152.74000549316406,159.66000366210938,152.61000061035156,159.66000366210938,338500000.0,-4.334208950408268,160.43800048828126,166.65733235677084,159.51003798618257,164.55171112141915,15.473236196126393,-2.6104671537527224,-1.0154359656541327,5.722575789538942,4.74328498770409,176.53856887677537,157.56542892595903
8,Russell2000,1987-10-19,133.60000610351562,152.74000549316406,133.60000610351562,152.74000549316406,604300000.0,-12.531097748654366,154.38600158691406,164.26266581217448,150.87336069196027,160.6827479941812,8.748246197016684,-4.815247702679869,-1.77539831305928,10.794879302658318,8.8533938182147,183.06878714814815,147.65521187528935
9,Russell2000,1987-10-20,121.38999938964844,133.60000610351562,120.20999908447266,133.60000610351562,608100000.0,-9.139226164710397,145.83600158691405,161.08466593424478,141.04557359118968,155.7711544186146,3.761218167899827,-7.461782882544611,-2.9126752269563467,15.900781296459302,13.20165703850309,189.45681368027766,136.65018552626532
